"date","level","name","disease","classification","i_cases"
2022-12-26,"Department","CENTRAL","DENGUE","SOSPECHOSO",116
2022-12-26,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-12-26,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-26,"Department","CENTRAL","DENGUE","TOTAL",116
2022-12-29,"Department","CENTRAL","DENGUE","SOSPECHOSO",94
2022-12-29,"Department","CENTRAL","DENGUE","CONFIRMADO",1
2022-12-29,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-29,"Department","CENTRAL","DENGUE","TOTAL",95
2022-12-23,"Department","GUAIRA","DENGUE","SOSPECHOSO",5
2022-12-23,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-12-23,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-12-23,"Department","GUAIRA","DENGUE","TOTAL",5
2022-12-11,"Department","GUAIRA","DENGUE","SOSPECHOSO",7
2022-12-11,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-12-11,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-12-11,"Department","GUAIRA","DENGUE","TOTAL",7
2022-12-22,"Department","CENTRAL","DENGUE","SOSPECHOSO",80
2022-12-22,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-12-22,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-22,"Department","CENTRAL","DENGUE","TOTAL",80
2022-11-13,"Department","ASUNCION","DENGUE","SOSPECHOSO",9
2022-11-13,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-11-13,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-11-13,"Department","ASUNCION","DENGUE","TOTAL",9
2022-12-29,"Department","ASUNCION","DENGUE","SOSPECHOSO",28
2022-12-29,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-12-29,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-12-29,"Department","ASUNCION","DENGUE","TOTAL",28
2022-12-28,"Department","ASUNCION","DENGUE","SOSPECHOSO",33
2022-12-28,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-12-28,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-12-28,"Department","ASUNCION","DENGUE","TOTAL",33
2022-11-14,"Department","GUAIRA","DENGUE","SOSPECHOSO",2
2022-11-14,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-11-14,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-11-14,"Department","GUAIRA","DENGUE","TOTAL",2
2022-12-27,"Department","CENTRAL","DENGUE","SOSPECHOSO",104
2022-12-27,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-12-27,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-27,"Department","CENTRAL","DENGUE","TOTAL",104
2022-01-03,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",1
2022-01-03,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-01-03,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-01-03,"Department","SAN PEDRO","DENGUE","TOTAL",1
2022-12-07,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",2
2022-12-07,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-12-07,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-12-07,"Department","SAN PEDRO","DENGUE","TOTAL",2
2022-07-04,"Department","CENTRAL","DENGUE","SOSPECHOSO",3
2022-07-04,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-07-04,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-07-04,"Department","CENTRAL","DENGUE","TOTAL",3
2022-12-16,"Department","CENTRAL","DENGUE","SOSPECHOSO",73
2022-12-16,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-12-16,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-16,"Department","CENTRAL","DENGUE","TOTAL",73
2022-06-25,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-06-25,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-06-25,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-06-25,"Department","CENTRAL","DENGUE","TOTAL",2
2022-12-13,"Department","GUAIRA","DENGUE","SOSPECHOSO",6
2022-12-13,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-12-13,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-12-13,"Department","GUAIRA","DENGUE","TOTAL",6
2022-12-30,"Department","ASUNCION","DENGUE","SOSPECHOSO",23
2022-12-30,"Department","ASUNCION","DENGUE","CONFIRMADO",3
2022-12-30,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-12-30,"Department","ASUNCION","DENGUE","TOTAL",26
2022-03-13,"Department","CENTRAL","DENGUE","SOSPECHOSO",3
