"","date","level","name","classification","i_cases"
"1",2023-01-03,"Department","CENTRAL","SOSPECHOSO",138
"2",2023-01-03,"Department","CENTRAL","CONFIRMADO",198
"3",2023-01-03,"Department","CENTRAL","PROBABLE",3
"4",2023-01-03,"Department","CENTRAL","TOTAL",339
"5",2023-01-29,"Department","CENTRAL","SOSPECHOSO",534
"6",2023-01-29,"Department","CENTRAL","CONFIRMADO",616
"7",2023-01-29,"Department","CENTRAL","PROBABLE",2
"8",2023-01-29,"Department","CENTRAL","TOTAL",1152
"9",2023-02-01,"Department","CENTRAL","SOSPECHOSO",726
"10",2023-02-01,"Department","CENTRAL","CONFIRMADO",540
"11",2023-02-01,"Department","CENTRAL","PROBABLE",0
"12",2023-02-01,"Department","CENTRAL","TOTAL",1266
"13",2023-01-12,"Department","CENTRAL","SOSPECHOSO",242
"14",2023-01-12,"Department","CENTRAL","CONFIRMADO",270
"15",2023-01-12,"Department","CENTRAL","PROBABLE",0
"16",2023-01-12,"Department","CENTRAL","TOTAL",512
"17",2023-01-27,"Department","CENTRAL","SOSPECHOSO",463
"18",2023-01-27,"Department","CENTRAL","CONFIRMADO",595
"19",2023-01-27,"Department","CENTRAL","PROBABLE",1
"20",2023-01-27,"Department","CENTRAL","TOTAL",1059
"21",2023-01-28,"Department","CENTRAL","SOSPECHOSO",607
"22",2023-01-28,"Department","CENTRAL","CONFIRMADO",566
"23",2023-01-28,"Department","CENTRAL","PROBABLE",4
"24",2023-01-28,"Department","CENTRAL","TOTAL",1177
"25",2023-01-07,"Department","CENTRAL","SOSPECHOSO",133
"26",2023-01-07,"Department","CENTRAL","CONFIRMADO",183
"27",2023-01-07,"Department","CENTRAL","PROBABLE",4
"28",2023-01-07,"Department","CENTRAL","TOTAL",320
"29",2023-01-18,"Department","ASUNCION","SOSPECHOSO",49
"30",2023-01-18,"Department","ASUNCION","CONFIRMADO",195
"31",2023-01-18,"Department","ASUNCION","PROBABLE",6
"32",2023-01-18,"Department","ASUNCION","TOTAL",250
"33",2023-01-02,"Department","CENTRAL","SOSPECHOSO",156
"34",2023-01-02,"Department","CENTRAL","CONFIRMADO",228
"35",2023-01-02,"Department","CENTRAL","PROBABLE",9
"36",2023-01-02,"Department","CENTRAL","TOTAL",393
"37",2023-01-22,"Department","CENTRAL","SOSPECHOSO",286
"38",2023-01-22,"Department","CENTRAL","CONFIRMADO",514
"39",2023-01-22,"Department","CENTRAL","PROBABLE",0
"40",2023-01-22,"Department","CENTRAL","TOTAL",800
"41",2023-02-04,"Department","ASUNCION","SOSPECHOSO",89
"42",2023-02-04,"Department","ASUNCION","CONFIRMADO",196
"43",2023-02-04,"Department","ASUNCION","PROBABLE",0
"44",2023-02-04,"Department","ASUNCION","TOTAL",285
"45",2023-01-31,"Department","CANINDEYU","SOSPECHOSO",7
"46",2023-01-31,"Department","CANINDEYU","CONFIRMADO",9
"47",2023-01-31,"Department","CANINDEYU","PROBABLE",0
"48",2023-01-31,"Department","CANINDEYU","TOTAL",16
"49",2023-01-24,"Department","ASUNCION","SOSPECHOSO",60
"50",2023-01-24,"Department","ASUNCION","CONFIRMADO",246
"51",2023-01-24,"Department","ASUNCION","PROBABLE",0
"52",2023-01-24,"Department","ASUNCION","TOTAL",306
"53",2023-01-25,"Department","CENTRAL","SOSPECHOSO",373
"54",2023-01-25,"Department","CENTRAL","CONFIRMADO",528
"55",2023-01-25,"Department","CENTRAL","PROBABLE",0
"56",2023-01-25,"Department","CENTRAL","TOTAL",901
"57",2023-01-18,"Department","ALTO PARAGUAY","SOSPECHOSO",6
"58",2023-01-18,"Department","ALTO PARAGUAY","CONFIRMADO",0
"59",2023-01-18,"Department","ALTO PARAGUAY","PROBABLE",0
"60",2023-01-18,"Department","ALTO PARAGUAY","TOTAL",6
"61",2023-02-02,"Department","BOQUERON","SOSPECHOSO",1
"62",2023-02-02,"Department","BOQUERON","CONFIRMADO",3
"63",2023-02-02,"Department","BOQUERON","PROBABLE",0
"64",2023-02-02,"Department","BOQUERON","TOTAL",4
"65",2023-01-21,"Department","CENTRAL","SOSPECHOSO",275
"66",2023-01-21,"Department","CENTRAL","CONFIRMADO",565
"67",2023-01-21,"Department","CENTRAL","PROBABLE",0
"68",2023-01-21,"Department","CENTRAL","TOTAL",840
"69",2023-01-30,"Department","CENTRAL","SOSPECHOSO",585
"70",2023-01-30,"Department","CENTRAL","CONFIRMADO",725
"71",2023-01-30,"Department","CENTRAL","PROBABLE",6
"72",2023-01-30,"Department","CENTRAL","TOTAL",1316
"73",2023-01-04,"Department","CENTRAL","SOSPECHOSO",152
"74",2023-01-04,"Department","CENTRAL","CONFIRMADO",255
"75",2023-01-04,"Department","CENTRAL","PROBABLE",5
"76",2023-01-04,"Department","CENTRAL","TOTAL",412
"77",2023-01-10,"Department","CENTRAL","SOSPECHOSO",241
"78",2023-01-10,"Department","CENTRAL","CONFIRMADO",315
"79",2023-01-10,"Department","CENTRAL","PROBABLE",1
"80",2023-01-10,"Department","CENTRAL","TOTAL",557
"81",2023-01-24,"Department","CENTRAL","SOSPECHOSO",490
"82",2023-01-24,"Department","CENTRAL","CONFIRMADO",511
"83",2023-01-24,"Department","CENTRAL","PROBABLE",0
"84",2023-01-24,"Department","CENTRAL","TOTAL",1001
"85",2023-01-17,"Department","CONCEPCION","SOSPECHOSO",2
"86",2023-01-17,"Department","CONCEPCION","CONFIRMADO",1
