"","fecha","tmin","tmax"
"1",1973-05-01,21.6,32.6
"2",1973-05-02,15.7,27
"3",1973-05-03,13.3,17
"4",1973-05-04,14.8,20
"5",1973-05-05,19.4,24.4
"6",1973-05-06,19.1,26.1
"7",1973-05-07,17.8,22.8
"8",1973-05-08,17.9,27.3
"9",1973-05-09,19.7,26.8
"10",1973-05-10,13.8,22.5
"11",1973-05-11,9.2,20.8
"12",1973-05-12,8.9,17.7
"13",1973-05-13,9.6,17.7
"14",1973-05-14,11,17.4
"15",1973-05-15,11.8,24.4
"16",1973-05-16,14.9,26.7
"17",1973-05-17,15.5,28.6
"18",1973-05-18,16.7,28.9
"19",1973-05-19,18.8,30.4
"20",1973-05-20,22.9,31.2
"21",1973-05-21,19.2,27.7
"22",1973-05-22,14.8,23.3
"23",1973-05-23,16,25.7
"24",1973-05-24,17.6,27.1
"25",1973-05-25,18.5,28.5
"26",1973-05-26,19.6,30.3
"27",1973-05-27,22,31
"28",1973-05-28,22.3,28.2
"29",1973-05-29,17.3,28.6
"30",1973-05-30,15.9,27
"31",1973-05-31,16.8,23.9
"32",1973-06-01,18.3,25.3
"33",1973-06-02,18.4,25.6
"34",1973-06-03,16.9,22.8
"35",1973-06-04,17.5,26.4
"36",1973-06-05,18.6,29.5
"37",1973-06-06,21,29.6
"38",1973-06-07,22.3,29.7
"39",1973-06-08,17.9,29.7
"40",1973-06-09,16.1,22.8
"41",1973-06-10,15.2,25.2
"42",1973-06-11,17,28.6
"43",1973-06-12,18.7,29.3
"44",1973-06-13,13.9,20.1
"45",1973-06-14,14.6,20.1
"46",1973-06-15,17.6,26.5
"47",1973-06-16,19.6,28
"48",1973-06-17,12.6,23.1
"49",1973-06-18,7.9,17.1
"50",1973-06-19,8.9,16.8
"51",1973-06-20,11,21.1
"52",1973-06-21,12.5,25.4
"53",1973-06-22,16.7,28.5
"54",1973-06-23,19,29.3
"55",1973-06-24,14,23.6
"56",1973-06-25,8.8,17.8
"57",1973-06-26,10.1,24
"58",1973-06-27,8.9,19.9
"59",1973-06-28,7.6,19.4
"60",1973-06-29,11.1,23.4
"61",1973-06-30,15.6,28.1
"62",1973-07-01,12.8,22.5
"63",1973-07-02,9.8,17.7
"64",1973-07-03,9.8,23.2
"65",1973-07-04,16.1,28
"66",1973-07-05,18.4,28.8
"67",1973-07-06,17.3,28.6
"68",1973-07-07,19.8,30.4
"69",1973-07-08,22.4,30.3
"70",1973-07-09,22.5,31.1
"71",1973-07-10,19.6,29.6
"72",1973-07-11,21,30.4
"73",1973-07-12,18.5,29
"74",1973-07-13,18,29.3
"75",1973-07-14,12.9,25.4
"76",1973-07-15,12,21.7
"77",1973-07-16,11.6,20.2
"78",1973-07-17,6,12.6
"79",1973-07-18,6.6,14.5
"80",1973-07-19,9.1,17.6
"81",1973-07-20,8.8,18.1
"82",1973-07-21,8.7,15.8
"83",1973-07-22,6.7,12.4
"84",1973-07-23,7.3,13.2
"85",1973-07-24,9.6,17.5
"86",1973-07-25,11.2,17.6
"87",1973-07-26,9.4,16.2
"88",1973-07-27,8.6,18.3
"89",1973-07-28,10.2,16.4
"90",1973-07-29,10.6,20.6
"91",1973-07-30,12.7,27
"92",1973-07-31,14.6,27
"93",1973-08-01,14.3,19
"94",1973-08-02,10.2,16.5
"95",1973-08-03,9.2,17.7
"96",1973-08-04,10.1,17.5
"97",1973-08-05,11.6,20
"98",1973-08-06,13.2,23.4
"99",1973-08-07,14.3,28.5
"100",1973-08-08,17,29.5
"101",1973-08-09,16.5,30.3
"102",1973-08-10,10.5,20.4
"103",1973-08-11,9.1,15.4
"104",1973-08-12,10.6,16.2
"105",1973-08-13,10.9,16.1
"106",1973-08-14,11.4,18.8
"107",1973-08-15,11.5,20.3
"108",1973-08-16,11.6,23.9
"109",1973-08-17,14.4,30.1
"110",1973-08-18,16.9,31.5
"111",1973-08-19,15,27.4
"112",1973-08-20,12.7,19.1
"113",1973-08-21,11.2,19.5
"114",1973-08-22,10.9,19.3
"115",1973-08-23,14.3,22.2
"116",1973-08-24,19.6,27.8
"117",1973-08-25,13.3,27.4
"118",1973-08-26,9.5,20.9
"119",1973-08-27,7.8,14.1
"120",1973-08-28,11.1,14.9
"121",1973-08-29,12.8,17.9
"122",1973-08-30,13.5,20.7
"123",1973-08-31,15.4,20.5
"124",1973-09-01,13.3,20.1
"125",1973-09-02,15.1,22.2
"126",1973-09-03,15.5,23.4
"127",1973-09-04,17.8,27.8
"128",1973-09-05,20.3,30
"129",1973-09-06,12.6,22.5
"130",1973-09-07,9.8,19.7
"131",1973-09-08,15.3,21.7
"132",1973-09-09,15,26.4
"133",1973-09-10,18.5,28.3
"134",1973-09-11,17.1,32.1
"135",1973-09-12,17.3,32.2
"136",1973-09-13,19.3,32
"137",1973-09-14,18.4,31.3
"138",1973-09-15,18.5,28.7
"139",1973-09-16,20.7,28.7
"140",1973-09-17,18.8,30
"141",1973-09-18,13.4,25.7
"142",1973-09-19,11.9,19.9
"143",1973-09-20,12.8,19.2
"144",1973-09-21,12.8,20.1
"145",1973-09-22,16,22.3
"146",1973-09-23,17.4,25.8
"147",1973-09-24,17.3,28.1
"148",1973-09-25,20.9,33.3
"149",1973-09-26,20.6,32.3
"150",1973-09-27,19.4,29.1
"151",1973-09-28,15.1,25.5
"152",1973-09-29,14.4,26.2
"153",1973-09-30,16.1,19.9
"154",1973-10-01,18.2,21.9
"155",1973-10-02,19.4,26.3
"156",1973-10-03,20.2,32.1
"157",1973-10-04,21.7,34.5
"158",1973-10-05,18.3,35.3
"159",1973-10-06,18.6,32.3
"160",1973-10-07,19.8,25.1
"161",1973-10-08,19.8,26.8
"162",1973-10-09,21.3,30.1
"163",1973-10-10,22.4,32.8
"164",1973-10-11,19.4,29.5
"165",1973-10-12,21.1,29.7
"166",1973-10-13,17.6,23.4
"167",1973-10-14,17,24.9
"168",1973-10-15,19,26.3
"169",1973-10-16,20.7,29.8
"170",1973-10-17,21.7,28.6
"171",1973-10-18,21.4,27
"172",1973-10-19,21.3,28.3
"173",1973-10-20,21.2,30
"174",1973-10-21,23.6,33
"175",1973-10-22,27.5,34.5
"176",1973-10-23,18.6,26.2
"177",1973-10-24,16.2,22.1
"178",1973-10-25,14.8,24.3
"179",1973-10-26,17.2,24.5
"180",1973-10-27,19.6,26.8
"181",1973-10-28,23,30.1
"182",1973-10-29,20,29.8
"183",1973-10-30,22,26.8
"184",1973-10-31,21.3,30.3
"185",1973-11-01,15.3,22.7
"186",1973-11-02,17.5,23.2
"187",1973-11-03,18.6,25.5
"188",1973-11-04,19.2,28.4
"189",1973-11-05,18.9,29.8
"190",1973-11-06,21.6,32.4
"191",1973-11-07,23.5,33.8
"192",1973-11-08,19.6,31.6
"193",1973-11-09,20.2,24.4
"194",1973-11-10,21.2,26.4
"195",1973-11-11,22.3,27.2
"196",1973-11-12,19.9,25.4
"197",1973-11-13,20.8,27.1
"198",1973-11-14,19.8,26.7
"199",1973-11-15,22.5,26.7
"200",1973-11-16,25,31.7
"201",1973-11-17,21.1,29
"202",1973-11-18,20.3,25.3
"203",1973-11-19,19.9,25.5
"204",1973-11-20,22,26.5
"205",1973-11-21,23.8,27.7
"206",1973-11-22,25.1,28.9
"207",1973-11-23,22.4,32
"208",1973-11-24,19.6,23.5
"209",1973-11-25,18,24.4
"210",1973-11-26,20.6,25.8
"211",1973-11-27,21.3,27.1
"212",1973-11-28,19.7,28.5
"213",1973-11-29,21.5,30.8
"214",1973-11-30,25.5,33
"215",1973-12-01,22.2,28.6
"216",1973-12-02,21.5,24.2
"217",1973-12-03,23.5,28.1
"218",1973-12-04,24.1,29.4
"219",1973-12-05,21.8,24.5
"220",1973-12-06,23.9,27.5
"221",1973-12-07,19.5,25.7
"222",1973-12-08,19,24.3
"223",1973-12-09,20.5,25.8
"224",1973-12-10,22.6,28.5
"225",1973-12-11,25.1,31.3
"226",1973-12-12,25.5,32
"227",1973-12-13,24.7,33.5
"228",1973-12-14,20.5,34
"229",1973-12-15,21.7,28.8
"230",1973-12-16,22.1,28.2
"231",1973-12-17,21.4,28.1
"232",1973-12-18,22.4,27.4
"233",1973-12-19,24.4,28.9
"234",1973-12-20,24.4,30.5
"235",1973-12-21,25.1,31.9
"236",1973-12-22,24.2,28.3
"237",1973-12-23,21.2,28.4
"238",1973-12-24,21.4,29.1
"239",1973-12-25,22.9,28.6
"240",1973-12-26,20.4,27.8
"241",1973-12-27,22.4,28.2
"242",1973-12-28,24,29.9
"243",1973-12-29,22.1,26.6
"244",1973-12-30,22.9,27.4
"245",1973-12-31,24.5,28.8
"246",1974-01-01,25.3,30.2
"247",1974-01-02,27.4,30.7
"248",1974-01-03,26.6,31.6
"249",1974-01-04,26.9,32.3
"250",1974-01-05,26.1,32.3
"251",1974-01-06,26.4,31.8
"252",1974-01-07,25.2,31.9
"253",1974-01-08,24.2,32.4
"254",1974-01-09,25.1,31.1
"255",1974-01-10,22.3,31
"256",1974-01-11,21.8,27.5
"257",1974-01-12,22.6,28
"258",1974-01-13,23.3,29.6
"259",1974-01-14,20.9,28.4
"260",1974-01-15,21,26
"261",1974-01-16,21.8,27.8
"262",1974-01-17,21.6,28.3
"263",1974-01-18,21.9,29.5
"264",1974-01-19,21.8,29.1
"265",1974-01-20,20.2,29.3
"266",1974-01-21,21.6,28.4
"267",1974-01-22,22,29.3
"268",1974-01-23,22.3,27.3
"269",1974-01-24,24.7,28.2
"270",1974-01-25,23,27.9
"271",1974-01-26,24.5,29
"272",1974-01-27,25,30.7
"273",1974-01-28,26,31.3
"274",1974-01-29,26,32.4
"275",1974-01-30,24.7,29.5
"276",1974-01-31,23.4,26.7
"277",1974-02-01,21.9,28.5
"278",1974-02-02,21.6,29
"279",1974-02-03,24,29.8
"280",1974-02-04,24.8,30
"281",1974-02-05,23,29.4
"282",1974-02-06,25.4,30.5
"283",1974-02-07,24.4,30.7
"284",1974-02-08,22.1,29.2
"285",1974-02-09,23.2,28.5
"286",1974-02-10,25,29
"287",1974-02-11,26.1,29.6
"288",1974-02-12,24.7,29.7
"289",1974-02-13,24,28.1
"290",1974-02-14,25,27.8
"291",1974-02-15,24.2,27.6
"292",1974-02-16,17.5,27.8
"293",1974-02-17,20.1,27.6
"294",1974-02-18,22.9,26.4
"295",1974-02-19,22.4,27.8
"296",1974-02-20,24.9,29
"297",1974-02-21,20.6,27.6
"298",1974-02-22,23,28.5
"299",1974-02-23,21,27.5
"300",1974-02-24,22.3,27.1
"301",1974-02-25,23.4,27.8
"302",1974-02-26,24,29.9
"303",1974-02-27,24.7,31.8
"304",1974-02-28,22.3,29.3
"305",1974-03-01,24.4,32.1
"306",1974-03-02,26.4,31.9
"307",1974-03-03,18.5,28.6
"308",1974-03-04,21.9,27.6
"309",1974-03-05,24.6,28.4
"310",1974-03-06,21.4,28.3
"311",1974-03-07,22.4,27.8
"312",1974-03-08,21.6,27.8
"313",1974-03-09,22.8,28.6
"314",1974-03-10,23.4,29.5
"315",1974-03-11,23.8,29
"316",1974-03-12,24.9,29.2
"317",1974-03-13,25,29.6
"318",1974-03-14,22.9,29.1
"319",1974-03-15,23.6,29
"320",1974-03-16,16.4,24.3
"321",1974-03-17,15.8,20.5
"322",1974-03-18,18.5,22.4
"323",1974-03-19,21.3,24.7
"324",1974-03-20,21.3,25.4
"325",1974-03-21,21.8,25.2
"326",1974-03-22,21.3,25.1
"327",1974-03-23,22.1,25.3
"328",1974-03-24,22.1,26.4
"329",1974-03-25,22.3,26.5
"330",1974-03-26,22,27.1
"331",1974-03-27,22.2,28.2
"332",1974-03-28,21.1,27.8
"333",1974-03-29,22,27.5
"334",1974-03-30,23.6,29.1
"335",1974-03-31,19.8,28.5
"336",1974-04-01,20.4,23.6
"337",1974-04-02,19.6,25.9
"338",1974-04-03,20.7,27.7
"339",1974-04-04,20.7,27.1
"340",1974-04-05,21,26
"341",1974-04-06,21.6,28.2
"342",1974-04-07,20.5,28
"343",1974-04-08,21.5,27.3
"344",1974-04-09,20.9,26.8
"345",1974-04-10,21,25.9
"346",1974-04-11,20.9,25.8
"347",1974-04-12,20.2,26.1
"348",1974-04-13,21,25.7
"349",1974-04-14,19.8,26.1
"350",1974-04-15,20.8,26.9
"351",1974-04-16,22.7,28.4
"352",1974-04-17,23.2,29.6
"353",1974-04-18,19.7,29.5
"354",1974-04-19,10.8,21.6
"355",1974-04-20,12.5,24.8
"356",1974-04-21,16.3,23
"357",1974-04-22,19.4,25.6
"358",1974-04-23,18.3,24.4
"359",1974-04-24,16.2,22
"360",1974-04-25,14.2,19.9
"361",1974-04-26,13.8,16.8
"362",1974-04-27,13.1,18.1
"363",1974-04-28,12.9,19.7
"364",1974-04-29,14.2,22.1
"365",1974-04-30,15.8,21.3
"366",1974-05-01,14.1,20.7
"367",1974-05-02,13.9,21.2
"368",1974-05-03,15.1,21.4
"369",1974-05-04,16.8,22.7
"370",1974-05-05,16.3,22.5
"371",1974-05-06,16.3,24.6
"372",1974-05-07,17.8,24.5
"373",1974-05-08,16,24.4
"374",1974-05-09,17.3,25.6
"375",1974-05-10,18.2,26.2
"376",1974-05-11,18.1,24.5
"377",1974-05-12,14.7,19.3
"378",1974-05-13,15.5,19.5
"379",1974-05-14,13.6,19.9
"380",1974-05-15,16,23.7
"381",1974-05-16,17.5,26.3
"382",1974-05-17,21.2,27.1
"383",1974-05-18,19.6,25.8
"384",1974-05-19,16.9,23.6
"385",1974-05-20,21.4,26.9
"386",1974-05-21,22,28.6
"387",1974-05-22,21.6,27.7
"388",1974-05-23,20.9,28.7
"389",1974-05-24,15.4,25.6
"390",1974-05-25,16,27.1
"391",1974-05-26,11.7,16.8
"392",1974-05-27,11.9,16.3
"393",1974-05-28,13,17
"394",1974-05-29,12.6,17.1
"395",1974-05-30,13.5,18.8
"396",1974-05-31,14.8,20.8
"397",1974-06-01,15.8,23.9
"398",1974-06-02,11.7,19.2
"399",1974-06-03,6.8,17.1
"400",1974-06-04,8.1,16.9
"401",1974-06-05,9.8,18.2
"402",1974-06-06,9.3,21.6
"403",1974-06-07,11.5,25
"404",1974-06-08,21.9,27.5
"405",1974-06-09,11.5,26.3
"406",1974-06-10,13.1,23
"407",1974-06-11,11.6,23.4
"408",1974-06-12,7.2,18.4
"409",1974-06-13,5.7,14.5
"410",1974-06-14,8.3,17.2
"411",1974-06-15,12.7,22.1
"412",1974-06-16,12.7,20.1
"413",1974-06-17,14.2,18.9
"414",1974-06-18,13.3,18.8
"415",1974-06-19,17.6,24
"416",1974-06-20,18,24.9
"417",1974-06-21,12.6,19.7
"418",1974-06-22,8.8,19.1
"419",1974-06-23,10.4,18.8
"420",1974-06-24,10.1,24.6
"421",1974-06-25,14.9,24.7
"422",1974-06-26,13.7,25.1
"423",1974-06-27,11.5,24.8
"424",1974-06-28,15.3,26.1
"425",1974-06-29,16.4,27
"426",1974-06-30,16.4,27.5
"427",1974-07-01,15.8,26.6
"428",1974-07-02,16.2,25.1
"429",1974-07-03,14.5,23
"430",1974-07-04,14.5,23.1
"431",1974-07-05,15.3,23.8
"432",1974-07-06,16.2,22.7
"433",1974-07-07,15,22.6
"434",1974-07-08,15.5,22.3
"435",1974-07-09,15.3,24.5
"436",1974-07-10,16.5,24.3
"437",1974-07-11,15.3,24.5
"438",1974-07-12,15,25.1
"439",1974-07-13,16.6,26
"440",1974-07-14,19.4,25.9
"441",1974-07-15,17.3,26.2
"442",1974-07-16,15.9,26.7
"443",1974-07-17,12.1,24.9
"444",1974-07-18,12.4,19.6
"445",1974-07-19,10.4,15.8
"446",1974-07-20,10.7,17.7
"447",1974-07-21,11.8,17.8
"448",1974-07-22,6.8,14.3
"449",1974-07-23,8.8,14.8
"450",1974-07-24,10.8,16.5
"451",1974-07-25,12.3,17
"452",1974-07-26,15,21
"453",1974-07-27,17.1,23.1
"454",1974-07-28,19.4,23.6
"455",1974-07-29,18.5,25
"456",1974-07-30,18.9,25.4
"457",1974-07-31,18.5,25.6
"458",1974-08-01,19.5,27.9
"459",1974-08-02,21,28.7
"460",1974-08-03,15,26.1
"461",1974-08-04,10.7,17.5
"462",1974-08-05,9.7,14.4
"463",1974-08-06,10.6,19.7
"464",1974-08-07,10.1,19.3
"465",1974-08-08,9.5,14.4
"466",1974-08-09,10.6,17.9
"467",1974-08-10,13.9,22.1
"468",1974-08-11,16.1,21.8
"469",1974-08-12,15.6,21
"470",1974-08-13,13.9,21.1
"471",1974-08-14,15.1,22.7
"472",1974-08-15,12.4,23.6
"473",1974-08-16,7.2,17.1
"474",1974-08-17,9.9,20
"475",1974-08-18,8.7,18.5
"476",1974-08-19,9.4,16.2
"477",1974-08-20,13,22
"478",1974-08-21,18,24.4
"479",1974-08-22,20.7,27.5
"480",1974-08-23,20.4,31.1
"481",1974-08-24,21.8,29.4
"482",1974-08-25,17.8,29.8
"483",1974-08-26,17.1,28.4
"484",1974-08-27,18.4,28
"485",1974-08-28,17.7,30
"486",1974-08-29,16.9,27
"487",1974-08-30,15.8,26.6
"488",1974-08-31,13.9,28
"489",1974-09-01,10.6,17.3
"490",1974-09-02,10.3,16.8
"491",1974-09-03,9.4,16.7
"492",1974-09-04,11.2,18.2
"493",1974-09-05,11.6,19.3
