"","name","Population","level"
"1","ASUNCION",521091.109612762,"Department"
"2","CONCEPCION",266071.702727368,"Department"
"3","SAN PEDRO",450802.18932431,"Department"
"4","CORDILLERA",323040.1365323,"Department"
"5","GUAIRA",234920.269383581,"Department"
"6","CAAGUAZU",582630.37326624,"Department"
"7","CAAZAPA",199470.532746313,"Department"
"8","ITAPUA",642752.808304009,"Department"
"9","MISIONES",133235.517772954,"Department"
"10","PARAGUARI",263079.369864607,"Department"
"11","ALTO PARANA",864920.130751665,"Department"
"12","CENTRAL",2328453.44013938,"Department"
"13","NEEMBUCU",91720.5932667594,"Department"
"14","AMAMBAY",179773.138253491,"Department"
"15","CANINDEYU",248151.900177754,"Department"
"16","PTE HAYES",134879.540262363,"Department"
"17","BOQUERON",70504.9868692911,"Department"
"18","ALTO PARAGUAY",19298.158536243,"Department"
"Centro est","Centro est",2204981.4426801,"Eje"
"Centro norte","Centro norte",1144798.93048292,"Eje"
"Centro sur","Centro sur",1130788.28920833,"Eje"
"Chaco","Chaco",224682.685667897,"Eje"
"Metropolitano","Metropolitano",2849544.54975214,"Eje"
"19","Paraguay",7554795.89779139,"National"
