date;i_inf;i_cases
2018-01-01;91,84851541519;7
2018-01-08;118,991943046689;15
2018-01-15;155,450189299717;23
2018-01-22;204,19856419224;22
2018-01-29;268,96108836131;35
2018-02-05;354,244161004739;41
2018-02-12;465,219399282428;35
2018-02-19;607,39039208488;82
2018-02-26;785,855650515182;97
2018-03-05;1004,09212576918;110
2018-03-12;1262,22000632279;126
2018-03-19;1554,94687230161;142
2018-03-26;1869,66655769098;187
2018-04-02;2185,60930837349;225
2018-04-09;2474,9280164424;234
2018-04-16;2706,4206787449;268
2018-04-23;2851,37564528314;287
2018-04-30;2890,13291165912;277
2018-05-07;2817,07495204407;282
2018-05-14;2642,16299325136;258
2018-05-21;2388,30076016573;264
2018-05-28;2085,74517451601;219
2018-06-04;1765,55655080621;163
2018-06-11;1454,20831489503;140
2018-06-18;1170,52048872239;117
2018-06-25;925,052580708821;82
2018-07-02;721,264864878569;62
2018-07-09;557,552737082862;74
2018-07-16;429,351607326423;39
2018-07-23;330,861359536933;39
2018-07-30;256,213425618728;36
2018-08-06;200,128270643016;19
2018-08-13;158,192477511015;19
2018-08-20;126,891545049483;12
2018-08-27;103,527617464739;12
2018-09-03;86,0768529253286;9
2018-09-10;73,0491975400393;3
2018-09-17;63,3619635919456;7
2018-09-24;56,2384691998081;10
2018-10-01;51,1313303131959;5
2018-10-08;47,664059502686;7
2018-10-15;45,5924061916789;1
2018-10-22;44,7781803185815;5
2018-10-29;45,1722897869966;2
2018-11-05;46,809850664569;6
2018-11-12;49,8099737225046;2
2018-11-19;54,3846894684365;2
2018-11-26;60,8529357965753;2
2018-12-03;69,6624941006384;3
2018-12-10;81,418098854102;8
2018-12-17;96,9173383728233;9
2018-12-24;117,191392691429;7
2018-12-31;143,551161672618;13
2019-01-07;177,633947627358;15
2019-01-14;221,445219902279;22
2019-01-21;277,377731730797;31
2019-01-28;348,186538230234;36
2019-02-04;436,880928848832;40
2019-02-11;546,479542162902;30
2019-02-18;679,572651435147;77
2019-02-25;837,619562708413;78
2019-03-04;1019,99571454647;95
2019-03-11;1222,88560093819;106
2019-03-18;1438,21545092586;151
2019-03-25;1653,13886055349;151
2019-04-01;1850,48715258573;173
2019-04-08;2010,62585123708;200
2019-04-15;2114,63756359778;191
2019-04-22;2148,2744059839;209
2019-04-29;2105,40697296392;223
2019-05-06;1989,79240059919;200
2019-05-13;1814,42209458488;166
2019-05-20;1598,6516209913;165
2019-05-27;1364,06971435848;149
2019-06-03;1130,5384069631;126
2019-06-10;913,414165483053;102
2019-06-17;722,367574244945;75
2019-06-24;561,672476174413;55
2019-07-01;431,373887997477;46
2019-07-08;328,778121085211;40
2019-07-15;249,816953552684;18
2019-07-22;190,06533839485;27
2019-07-29;145,374413654188;15
2019-08-05;112,183444498875;10
2019-08-12;87,6143707374288;4
2019-08-19;69,431810859266;7
2019-08-26;55,9516930438646;7
2019-09-02;45,9303214369344;8
2019-09-09;38,4626496048334;4
2019-09-16;32,896073676691;6
2019-09-23;28,7643960776074;1
2019-09-30;25,7371202014217;4
2019-10-07;23,5830103607769;1
2019-10-14;22,1442534059591;2
2019-10-21;21,318838180394;2
2019-10-28;21,0489589829146;1
2019-11-04;21,3137874560541;4
2019-11-11;22,1255878889876;3
2019-11-18;23,5289396569627;3
2019-11-25;25,6014770626992;2
