Año;Edad;M;F;Total;Total_Pais
2020;0-4;358637;342455;701092;7252672
2020;5 -9;348935;333884;682819;7252672
2020;10-14;345842;331084;676926;7252672
2020;15-19;337038;322314;659352;7252672
2020;20-24;346443;331345;677788;7252672
2020;25-29;328301;314954;643255;7252672
2020;30-34;303627;291441;595068;7252672
2020;35-39;262782;251276;514058;7252672
2020;40-44;208611;198323;406934;7252672
2020;45-49;163653;157051;320704;7252672
2020;50-54;146953;143862;290815;7252672
2020;55-59;129886;127663;257549;7252672
2020;60-64;111110;109266;220376;7252672
2020;65-69;91006;90780;181786;7252672
2020;70-74;62432;65078;127510;7252672
2020;75-79;40523;45692;86215;7252672
2020;80-84;24038;29825;53863;7252672
2020;85-89;10018;14179;24197;7252672
2020;90-94;3639;6031;9670;7252672
2020;95-99;782;1450;2232;7252672
2020;100+;104;217;321;7252672
2019;0-4;357054;340897;697951;7152703
2019;5 -9;349066;334049;683115;7152703
2019;10-14;344629;329887;674516;7152703
2019;15-19;339109;324148;663257;7152703
2019;20-24;346689;331561;678250;7152703
2019;25-29;325701;312341;638042;7152703
2019;30-34;298824;286524;585348;7152703
2019;35-39;254505;242848;497353;7152703
2019;40-44;199695;189719;389414;7152703
2019;45-49;159981;153894;313875;7152703
2019;50-54;145628;142577;288205;7152703
2019;55-59;127747;125183;252930;7152703
2019;60-64;109034;106937;215971;7152703
2019;65-69;87699;87396;175095;7152703
2019;70-74;59316;61957;121273;7152703
2019;75-79;38804;43861;82665;7152703
2019;80-84;22961;28443;51404;7152703
2019;85-89;9713;13694;23407;7152703
2019;90-94;3767;6091;9858;7152703
2019;95-99;870;1545;2415;7152703
2019;100+;96;199;295;7152703
2018;0-4;354352;338243;692595;7052983
2018;5 -9;349738;334791;684529;7052983
2018;10-14;342771;328008;670779;7052983
2018;15-19;342932;327646;670578;7052983
2018;20-24;345349;330265;675614;7052983
2018;25-29;323265;309868;633133;7052983
2018;30-34;293475;281024;574499;7052983
2018;35-39;245494;233709;479203;7052983
2018;40-44;191100;181556;372656;7052983
2018;45-49;157980;152385;310365;7052983
2018;50-54;143915;140736;284651;7052983
2018;55-59;125535;122604;248139;7052983
2018;60-64;107193;104845;212038;7052983
2018;65-69;83906;83552;167458;7052983
2018;70-74;56595;59250;115845;7052983
2018;75-79;37416;42386;79802;7052983
2018;80-84;21785;26984;48769;7052983
2018;85-89;9597;13552;23149;7052983
2018;90-94;3716;5948;9664;7052983
2018;95-99;847;1487;2334;7052983
2018;100+;88;181;269;7052983
