age_group;age_group_by;M;F;COUNTRY
00-04;age_group_5;347169;331699;678868
05-09;age_group_5;341894;326733;668627
10-14;age_group_5;317427;303621;621048
15-19;age_group_5;306449;293665;600114
20-24;age_group_5;304563;293277;597840
25-29;age_group_5;305241;296071;601312
30-34;age_group_5;288949;282639;571588
35-39;age_group_5;257990;254364;512354
40-44;age_group_5;212728;211190;423918
45-49;age_group_5;173467;172987;346454
50-54;age_group_5;152887;155122;308009
55-59;age_group_5;132741;143219;275960
60-64;age_group_5;102157;116560;218717
65-69;age_group_5;76000;86957;162957
70-74;age_group_5;54812;62889;117701
75-79;age_group_5;35013;42576;77589
80-84;age_group_5;19907;25939;45846
85-89;age_group_5;8300;12739;21039
90-94;age_group_5;2836;5719;8555
95-99;age_group_5;762;1824;2586
100+;age_group_5;106;326;432
00-09;age_group_10;689063;658432;1347495
10-19;age_group_10;623876;597286;1221162
20-29;age_group_10;609804;589348;1199152
30-39;age_group_10;546939;537003;1083942
40-49;age_group_10;386195;384177;770372
50-59;age_group_10;285628;298341;583969
60-69;age_group_10;178157;203517;381674
70-79;age_group_10;89825;105465;195290
80-89;age_group_10;28207;38678;66885
90-99;age_group_10;3598;7543;11141
100+;age_group_10;106;326;432
