omm_id	fecha	tmax	tmin	tmed	td	pres_est	pres_nm	prcp	hr	helio	nub	vmax_d	vmax_f	vmed	estado	num_observaciones
86068	2023-01-01	35.4	25.6	30.2	21.4	987	1005.6	0	61	9.5	3	3	6.1	2.7	P	4
86068	2023-01-02	36.4	25.8	27.3	22.9	987.9	1006.9	5.3	77	4	6	21	6.1	3.6	P	3
86068	2023-01-03	26.4	23.4	23.3	22.3	986.7	1006	24	94	0	8	27	5.1	3.3	P	4
86068	2023-01-04	31	18.4	23.8	16.9	991.8	1011.1	0	68	7.5	6	18	7.2	4.6	P	4
86068	2023-01-05	34.5	18.4	26.3	18.2	990.3	1009.4	0	64	12.2	2	12	2	0.9	P	4
86068	2023-01-06	35.2	20.8	27.3	16.9	991.8	1010.9	0	55	12	1	8	2	1	P	4
86068	2023-01-07	34.2	20	26.4	17.2	992.4	1011.5	0	59	12	1	16	2	0.5	P	4
86068	2023-01-08	35	21.4	27.6	18.9	991.8	1010.9	0	61	11.5	2	18	2	0.5	P	4
86068	2023-01-09	35.6	23.2	28.3	18.9	989.3	1008.2	0	59	7	3	10	2	0.5	P	4
86068	2023-01-10	34	23	28.5	20.6	988.4	1007.4	0	63	4	5	27	2.5	1.3	P	4
86068	2023-01-11	37.5	23	29.2	21.1	987.6	1006.5	10.4	63	11.5	2	1	5.1	3.7	P	4
86068	2023-01-12	33.3	21.2	25.7	20.6	985.5	1004.5	0	75	8	5	34	4.1	2.3	P	4
86068	2023-01-13	32.2	21	24.8	19.4	987.1	1006.2	0	73	9.5	6	20	7.7	3.5	P	4
86068	2023-01-14	33.2	20.6	25.3	19.9	990.7	1009.9	0	74	9.4	5	21	4.1	1.5	P	4
86068	2023-01-15	35	21.6	27.2	20	991.3	1010.3	0	67	10	1	30	2	1	P	4
86068	2023-01-16	38	23.2	29.6	19.8	989.8	1008.7	0	59	11.4	1	9	2.5	0.6	P	4
86068	2023-01-17	38.2	24.4	30.4	21	989.5	1008.3	0	61	11.7	2	3	2	1.5	P	4
86068	2023-01-18	39	25.6	30.1	21.7	991.7	1010.6	0	62	11	3	5	5.1	3.3	P	4
86068	2023-01-19	40	25.4	31.5	20.5	991.2	1010	0	55	11	1	3	5.1	2.3	P	4
86068	2023-01-20	40.5	26.2	32.5	19.7	986.3	1004.9	0	49	11.5	1	3	7.7	3.7	P	4
86068	2023-01-21	40.5	27.8	32.9	19.9	983.1	1001.6	0	48	11.3	1	36	7.7	6.2	P	4
86068	2023-01-22	39.5	28	32.3	21.2	986.2	1003.6	0	53	10.5	2	33	4.1	3.1	P	4
86068	2023-01-23	36.5	26.6	26.6	22.4	987.7	1006.6	3.1	79	4	4	11	2.5	1.2	P	4
86068	2023-01-24	"\N"	21	26.3	22.4	986.6	1005.6	0	83	"\N"	3	4	4.1	2.2	P	3
86068	2023-01-25	38.5	23.2	30.9	22.3	985.5	1004.2	0	64	10.8	3	3	5.1	3.5	P	4
86068	2023-01-26	39.6	26.6	31.8	21.8	985.1	1003.7	0	58	10	4	2	2.5	2.3	P	4
86068	2023-01-27	40.5	26	31.1	21.6	985.7	1004.7	0	59	9	3	5	3.6	2.7	P	4
86068	2023-01-28	36.6	26	30.3	22.9	988.5	1007.3	0	66	3.5	6	21	4.1	2.4	P	4
86068	2023-01-29	34.6	24	28.3	23.1	989.2	1008.2	0	75	9	6	18	4.1	3.2	P	4
86068	2023-01-30	"\N"	24.6	29.7	22.2	985.3	1004	16.5	68	"\N"	3	4	3	1.7	P	3
86068	2023-01-31	34.2	23.2	25.5	24.4	986.7	1005.7	1.1	93	"\N"	7	35	3.6	1.3	P	4
86068	2023-02-01	33.6	23	27.4	23.6	988.7	1007.7	0	81	9.2	4	18	1.5	0.8	P	4
86068	2023-02-02	35.4	24	28	23.1	989	1008	1	76	9	4	36	4.1	2.7	P	4
86068	2023-02-03	33.5	22.4	25.9	19.6	992.2	1011.4	0	70	9	5	21	6.1	4.1	P	4
86068	2023-02-04	36	22.6	27.4	18.1	993.6	1012.6	0	59	12	2	21	5.1	2.2	P	4
86068	2023-02-05	36.4	22	27.7	17	992.2	1011.2	0	54	10.5	2	17	2	1	P	4
86068	2023-02-06	38.4	23.2	29.7	18.7	989.5	1008.3	0	54	11	3	3	7.2	3.6	P	4
86068	2023-02-07	34	24.8	25.4	23.1	990.3	1009.5	4.8	87	4	7	18	5.1	2.4	P	4
86068	2023-02-08	34	23.4	26	23.4	988.8	1006.3	0.3	86	8.5	4	8	2.5	1.2	P	4
86068	2023-02-09	37.2	23.4	29.1	22.5	988.4	1007.3	15.5	70	6.5	6	3	5.1	2.8	P	4
86068	2023-02-10	32.5	22.8	26.1	22.8	989.6	1008.7	0	83	7	6	12	2	0.9	P	4
86068	2023-02-11	35.8	23.6	28.2	23.4	988.6	1007.4	0	78	11.5	1	12	2.5	1.7	P	4
86068	2023-02-12	36.8	24.2	29.5	23.3	985.6	1005.7	0	71	11.8	2	2	5.1	3.5	P	4
86068	2023-02-13	36.6	25.2	30.1	22.6	984.8	1003.5	0	66	12	2	36	7.7	5.4	P	4
86068	2023-02-14	37.4	26.2	30.3	22.7	984.9	1003.6	4.7	65	6	4	2	6.1	3.9	P	4
86068	2023-02-15	33.6	23	26.8	20.6	987.3	1006	0	70	6.2	6	18	2	0.5	P	4
86068	2023-02-16	38.6	22.6	27.5	21.6	980.1	998.9	13.5	75	10.5	6	18	6.1	4	P	4
86068	2023-02-17	32.8	21	24.8	18.1	993.5	1010.1	0	72	8.5	6	18	6.1	4.1	P	4
86068	2023-02-18	25.5	15.4	18.4	5.2	1000.2	1020	0	42	10.8	2	17	6.1	4.5	P	4
86068	2023-02-19	30.5	14.8	21.4	8.6	997.2	1016.7	0	45	10.5	4	20	2.5	2.2	P	4
86068	2023-02-20	35	16.2	24.7	13.2	992.8	1012	0	52	10.2	1	18	2	1.5	P	4
86068	2023-02-21	37.2	20.4	27.8	20.5	990.7	1009.7	0	66	10.6	1	12	2	1	P	4
86068	2023-02-22	37.8	24.4	29.2	22.7	993.8	1008.8	0	69	11.5	2	5	3.6	1.8	P	4
86068	2023-02-23	36.6	25.8	27.1	23.1	990.4	1009.3	13.7	79	4	8	5	5.1	4.2	P	4
86068	2023-02-24	32.8	23	26.7	22.8	989.7	1008.7	0	80	8	4	8	2.5	1.2	P	4
86068	2023-02-25	36.6	23.2	29.1	23.1	987.2	1006.1	0	73	11.5	3	36	6.1	3.7	P	4
86068	2023-02-26	31.6	25.8	24	21.8	991.1	1010.3	83.9	88	0	8	10	6.1	3.9	P	4
86068	2023-02-27	27.4	20	23.9	21.8	994.9	1014.3	0	88	2.5	7	18	2	1	P	4
86068	2023-02-28	34.5	22	27	22.5	992.9	1011.9	0	78	11.3	3	36	5.1	1.3	P	4
86068	2023-03-01	35.5	24.5	29.6	24.5	988.4	1007.3	1.4	76	11.3	2	3	6.1	4.8	P	4
86068	2023-03-02	31.6	22	22.1	20.2	990	1009.3	49.1	89	0.8	7	17	2.5	1.9	P	4
86068	2023-03-03	31	21	24.8	21.9	987.3	1006.4	0	85	7	3	36	2	0.5	P	4
86068	2023-03-04	34.8	21.6	27.7	22.8	989.7	1008.7	0	76	11	2	36	5.1	1.8	P	4
86068	2023-03-05	36	25	29.7	23.7	989.3	1008.1	0	71	7.5	3	36	2.5	1.7	P	4
86068	2023-03-06	37.5	25.4	30.4	23.7	986.1	1004.8	0	69	11	3	2	3.6	1.9	P	4
86068	2023-03-07	35.4	26.5	28.7	23.8	986.2	1005.1	5.3	77	3	6	7	4.1	3	P	4
86068	2023-03-08	31.6	22.5	26.8	23.4	988.6	1007.5	0	83	7	4	0	0	0	P	4
86068	2023-03-09	36	24.2	27.1	23.3	989.5	1008.5	4.4	82	7.5	3	3	2	0.5	P	4
86068	2023-03-10	34.6	20.2	26.6	22.5	989.9	1009	0	80	10.8	2	3	2	1	P	4
86068	2023-03-11	35.5	24	28.3	23.3	989.5	1008.4	0	76	10.3	2	7	2	1	P	4
86068	2023-03-12	35.5	23.5	28.8	22.2	989.4	1008.3	0	70	10.8	2	9	2.5	1.2	P	4
86068	2023-03-13	34.6	23.4	27.8	22.7	988.7	1007.6	0	76	8	1	4	2	1	P	4
86068	2023-03-14	36	23.5	28.2	22.8	988.8	1007.7	4.6	76	9.3	4	29	2.5	1.8	P	4
86068	2023-03-15	32.2	23	26.6	22.8	988.7	1007.7	1	81	6	5	7	2	1.9	P	4
86068	2023-03-16	32.2	23.2	25.4	22.8	989.9	1009	0	86	9.5	3	12	2	0.7	P	3
86068	2023-03-17	33.2	22.8	26.4	22.1	990.3	1009.4	0	79	2.3	4	9	2.5	2.1	P	4
86068	2023-03-18	32.5	22.5	26.6	22.8	991.2	1010.3	0	80	7	5	10	2.5	1.7	P	4
86068	2023-03-19	31.2	23	25.1	23.3	991	1010.2	3.3	90	7	5	5	2.5	0.6	P	4
86068	2023-03-20	"\N"	22	26.9	22.1	991.3	1010.3	0	80	"\N"	6	15	3.6	1.7	P	3
86068	2023-03-21	36.4	22.8	28.1	22.4	990.9	1009.8	0	73	10.5	1	12	2.5	1.2	P	4
86068	2023-03-22	"\N"	22.8	24.6	22.2	992.6	1011.8	2.1	86	"\N"	2	12	2	1.8	P	2
86068	2023-03-23	35.5	23	28.1	23.1	992.5	1011.4	2.6	76	7.5	5	3	2	1.4	P	3
86068	2023-03-24	31.6	22.5	25.6	21.8	992.2	1012	0	81	1.3	5	3	5.1	2.3	P	4
86068	2023-03-25	34.2	23	28.3	22.8	992	1011	"\N"	74	7.3	6	3	2.5	1.2	P	4
86068	2023-03-26	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	P	"\N"
86068	2023-03-27	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	P	"\N"
86068	2023-03-28	34.2	22	28	22.6	988.8	1007.7	0	74	10.5	2	2	6.1	3.4	P	3
86068	2023-03-29	35.2	22.8	29	22.8	988	1006.9	0	71	10.5	1	3	7.2	4.4	P	4
86068	2023-03-30	36.6	24.5	28.1	22.1	991.5	1010.5	0	72	9	3	5	4.1	3	P	4
86068	2023-03-31	37	21.4	27.5	22.1	993	1012.1	2.2	75	8.5	3	7	2.5	1.2	P	4
86068	2023-04-01	29.6	22.4	25.4	22.5	994.9	1014	0	85	9.5	3	25	4.1	1.7	P	4
86068	2023-04-02	35.2	21	26.6	21	992.4	1011.5	0	74	10.5	2	7	4.1	1.3	P	4
86068	2023-04-03	35	22.8	28	22.5	990.9	1009.8	0	74	10.3	2	5	4.1	1.5	P	4
86068	2023-04-04	33	23.5	26	22.3	990.9	1010	28.1	82	4.5	5	5	4.1	2.8	P	4
86068	2023-04-05	25	20	21.7	20.7	992.6	1012.1	2.7	94	0	8	22	2	1	P	4
86068	2023-04-06	27.5	20	23.3	20.8	993.4	1012.7	8.3	86	5	6	25	4.1	1.5	P	4
86068	2023-04-07	28.5	20	24	20.2	995.2	1014.7	0	80	10	4	18	5.1	1.8	P	4
86068	2023-04-08	29.4	18	22.4	19.8	996.8	1015.7	0	86	10	2	18	2.5	0.6	P	4
86068	2023-04-09	30.5	17	22	19.8	996.4	1015.8	0	88	9.5	1	9	1	0.3	P	4
86068	2023-04-10	34.4	17.2	24.5	19	996.1	1015.5	0	75	8.5	2	36	1.5	0.4	P	4
86068	2023-04-11	32.5	19	25.5	21.3	991.6	1010.8	0	79	10	2	36	5.1	1.5	P	4
86068	2023-04-12	33.2	23	28	22.6	989.6	1008.6	5.2	74	6	4	36	5.1	2.2	P	4
86068	2023-04-13	29.4	23.5	24.8	22.3	989.7	1009	8.4	86	1.5	5	27	5.1	1.9	P	4
86068	2023-04-14	23.2	14.6	19.2	17.3	995.5	1015	0.1	88	0	8	18	5.1	2.8	P	4
86068	2023-04-15	24.8	18.2	21.3	20.3	995.3	1014.9	0.9	94	0	8	18	1	0.8	P	4
86068	2023-04-16	26.2	18.5	22	21.3	991.7	1011.1	2.3	96	0	8	21	4.1	2.4	P	4
86068	2023-04-17	24	19.4	20.6	19.6	988.1	1007.6	2.3	94	0	8	25	5.1	3	P	4
86068	2023-04-18	25.5	19.4	21.9	19.7	987.7	1007	0	88	1	8	18	2	1.5	P	4
86068	2023-04-19	28.5	16	21.5	17.4	994.5	1014	0	80	10	1	20	5.1	1.8	P	4
86068	2023-04-20	28.6	15.8	20.6	14.6	997.7	1017.3	0	73	9.8	0	21	4.1	1.5	P	4
86068	2023-04-21	29.5	13	19.7	12.7	992.5	1012.1	0	68	10	0	4	5.1	2.2	P	4
86068	2023-04-22	30.5	13.8	21.1	15.4	994.8	1014.4	0	73	9.8	1	18	2	0.9	P	4
86068	2023-04-23	30.6	16	22	15	994.6	1014	0	67	10	0	16	2	0.9	P	4
86068	2023-04-24	29.5	19.5	22.8	16.9	994.5	1013.9	0.2	71	3.2	6	18	5.1	3	P	4
86068	2023-04-25	22.4	18.2	18.4	16.8	994.6	1014.3	0	91	0	6	22	5.1	1.8	P	4
86068	2023-04-26	28	18.4	21.4	18	995.3	1014.8	0	82	4.5	7	18	2	1.5	P	4
86068	2023-04-27	29.4	15.5	21	16.4	995.5	1015	0	79	8.2	3	16	2	0.5	P	4
86068	2023-04-28	30.6	14.5	22.1	16.3	994	1013.4	0	72	7.8	1	16	2	1.5	P	4
86068	2023-04-29	32.6	19.4	26.1	20.7	989.7	1008.7	0	74	5.5	2	3	8.2	4.6	P	4
86068	2023-04-30	35.5	22.4	28.6	21.8	987.6	1006.5	0	68	4	1	3	8.2	6	P	4
86068	2023-05-01	"\N"	24	23.9	21.5	991.9	1011.1	0	86	"\N"	3	21	5.1	3.3	P	3
86068	2023-05-02	18.8	14.8	15.3	13.5	996.3	1016.2	2.4	89	0	8	21	4.1	3.1	P	4
86068	2023-05-03	16.2	13	14.6	13.5	997.2	1017.1	1.1	93	0.2	8	18	1.5	1.3	P	4
86068	2023-05-04	18.5	14	16.4	14.2	996.3	1016.3	3.3	87	1	8	19	1	0.5	P	4
86068	2023-05-05	17.4	15	15.7	14.9	997.9	1018.2	3.5	95	0	8	23	2.5	1.4	P	4
86068	2023-05-06	19	14	16.5	15.3	997.8	1017.6	0	92	1.5	7	19	1	0.3	P	4
86068	2023-05-07	19.4	15	18	17.5	996.1	1015.9	13	97	0	8	5	1	0.5	P	4
86068	2023-05-08	21.5	17	19.1	18	999.6	1019.4	0.2	93	0	8	18	2.5	1.4	P	4
86068	2023-05-09	23.5	16.2	19.2	15.9	1000	1019.9	0	83	2.5	4	18	2	0.9	P	4
86068	2023-05-10	25.6	16.4	20.1	16.9	999.3	1018.9	0	83	1.5	4	22	4.1	1	P	4
86068	2023-05-11	27.4	14.2	19.4	14.2	998.3	1017.8	0	75	9	2	22	4.1	1.3	P	4
86068	2023-05-12	24.5	15	19	12	999.8	1019.5	0	67	10	3	18	2.5	0.9	P	4
86068	2023-05-13	27.5	11	15.3	10.7	998.7	1018.3	0	75	9.5	0	15	3	0.8	P	4
86068	2023-05-14	28.5	12.6	16.5	12.7	1000.3	1020.4	0	78	9.5	0	16	2	0.7	P	3
86068	2023-05-15	32.2	13.4	21.8	14.2	998.8	1018.2	0	66	9.6	0	9	1	0.3	P	4
86068	2023-05-16	32.5	16	24	13.3	995.8	1015.1	0	55	9	0	5	7.2	3.8	P	3
86068	2023-05-17	32	16	22.9	15.7	992.4	1012	0	67	8.5	2	3	7.2	4.5	P	4
86068	2023-05-18	29.6	19	23.9	19.7	994.6	1013.7	0	77	7	6	5	2.5	1.8	P	4
86068	2023-05-19	31.2	22.4	25.7	18.8	991.8	1010.9	0	67	5.5	4	3	4.1	3.3	P	4
86068	2023-05-20	30.8	22	25.7	18.4	991.3	1010.4	0.5	64	4	7	35	3.6	3	P	4
86068	2023-05-21	29.8	20.5	22.9	21.1	989.1	1008.4	1	90	1.5	8	30	6.1	2.2	P	4
86068	2023-05-22	30	20.6	23.4	21.4	989.9	1009.2	0	89	4	6	34	2	0.5	P	4
86068	2023-05-23	35.2	21	26.8	21.2	991.2	1010.3	0	75	9.7	2	36	6.1	3.7	P	4
86068	2023-05-24	34.5	21.5	26.7	17.8	989.2	1008.2	0	60	9	2	3	9.2	5	P	4
86068	2023-05-25	34.2	21.4	27.7	17.5	988.2	1007.4	0	55	8.3	4	3	8.2	5.7	P	4
86068	2023-05-26	34.4	24.4	28.2	20.6	986.8	1005.7	0	63	7	3	36	9.2	6.7	P	4
86068	2023-05-27	32.4	23.4	25.2	22	991.8	1010.7	25.8	83	0	7	21	6.1	2.6	P	4
86068	2023-05-28	"\N"	11	12.8	11.9	1001.2	1021.4	0.2	94	"\N"	8	21	8.2	8.1	P	3
86068	2023-05-29	19.2	11.8	15.6	14.1	998.3	1018.2	0	90	0	8	21	4.1	3.3	P	4
86068	2023-05-30	24.5	13.4	19.2	17.6	998.1	1017.8	0	90	0.8	8	21	4.1	2.6	P	4
86068	2023-05-31	27.4	13.5	21.6	18.1	996.9	1016.5	0	81	5	7	3	5.1	1.8	P	4
86068	2023-06-01	27.8	19.6	22.5	18.3	997.4	1016.6	0	79	7.5	6	7	4.1	3.9	P	4
86068	2023-06-02	30.4	19.2	23.9	17.5	992.5	1011.9	0	69	9	4	5	6.1	5.3	P	4
86068	2023-06-03	32.4	20	25	19.5	990.6	1009.8	0	74	10	2	3	4.1	3.9	P	4
86068	2023-06-04	31.4	20	24.3	19.7	995.8	1015.2	28.5	77	7.5	4	5	2.5	2.1	P	4
86068	2023-06-05	27	20.2	23.5	20.9	998.6	1018	0	86	4.5	5	0	0	0	P	4
86068	2023-06-06	31	20	24.3	21.1	995.1	1014.2	0	83	4.3	2	3	5.1	1.3	P	4
86068	2023-06-07	30.5	20	24.2	20.2	995.6	1014.8	0	79	9.5	1	5	5.1	4	P	4
86068	2023-06-08	33	19	24.5	19.7	994.7	1014.2	0	76	9.5	3	36	6.1	3.1	P	4
86068	2023-06-09	33.5	21	26.6	19.1	989.8	1009	0	65	9	1	2	10.2	5.5	P	4
86068	2023-06-10	33	22.2	27.2	19.4	991.7	1008.9	0.9	63	7	3	33	7.2	2.7	P	4
86068	2023-06-11	28.4	14.4	14.6	10.2	999.4	1019.4	0.4	74	0	8	18	10.2	7.3	P	4
86068	2023-06-12	15.5	11.5	12.6	4.9	1004.5	1024.4	0	59	0	8	20	8.2	5.9	P	4
86068	2023-06-13	17	10	12.7	-0.6	1008.7	1029	0	40	3	7	23	9.2	7.2	P	4
86068	2023-06-14	18.4	9	11.5	1.2	1006	1026.2	0	52	7	4	19	9.2	3.7	P	4
86068	2023-06-15	21.2	0	8.6	1.1	1002.7	1023.3	0	69	9.5	0	18	3	1	P	4
86068	2023-06-16	22	1	10.6	4.2	1003	1023.4	0	72	9.5	1	18	2	0.5	P	4
86068	2023-06-17	21.4	5	12	7.9	1003.9	1021.7	0	80	9.8	0	9	2.5	1.9	P	4
86068	2023-06-18	23.4	4.5	13.5	8.4	999.7	1019.8	0	76	9.8	0	5	3.6	1.5	P	4
86068	2023-06-19	28.8	6.2	19.3	12.3	994.3	1013.9	0	66	9.8	3	3	6.1	4.6	P	4
