"","date","level","name","n_pos","n_tot","Fr","Estimate","CI_Lower","CI_Upper","name_0"
"1","2023-09-02","Geographic","Paraguay (n=1001)",340,1001,33.966033966034,33.966033966034,31.0984578785361,36.9562041597188,"Paraguay"
"2","2023-09-02","Geographic","Centro est (n=252)",118,252,46.8253968253968,46.8253968253968,40.7584545257685,52.9876724413961,"Centro est"
"3","2023-09-02","Geographic","Centro norte (n=249)",102,249,40.9638554216867,40.9638554216867,35.0380431583194,47.1642427286987,"Centro norte"
"4","2023-09-02","Geographic","Centro sur (n=250)",14,250,5.6,5.6,3.36476492190109,9.17907207329439,"Centro sur"
"5","2023-09-02","Geographic","Metropolitano (n=250)",106,250,42.4,42.4,36.4345215362121,48.5955046161187,"Metropolitano"
"6","2023-09-02","Sex","F (n=401)",123,401,30.6733167082294,30.6733167082294,26.360998704846,35.3524086987544,"F"
"7","2023-09-02","Sex","M (n=600)",217,600,36.1666666666667,36.1666666666667,32.4213146201723,40.0880257745401,"M"
"8","2023-09-02","Age group","18-29 (n=331)",120,331,36.2537764350453,36.2537764350453,31.2599531787323,41.5630059851357,"18-29"
"9","2023-09-02","Age group","30-39 (n=349)",106,349,30.3724928366762,30.3724928366762,25.7831088319621,35.3892543994176,"30-39"
"10","2023-09-02","Age group","40-49 (n=205)",74,205,36.0975609756098,36.0975609756098,29.8344222760765,42.8721464666085,"40-49"
"11","2023-09-02","Age group","50-65 (n=98)",34,98,34.6938775510204,34.6938775510204,26.0085916679601,44.5338570092342,"50-65"
