"date","name","level","disease","classification","i_cases"
2022-01-01,"ASUNCION","Department","DENGUE","CONFIRMADO",0
2022-01-01,"ASUNCION","Department","DENGUE","PROBABLE",0
2022-01-01,"ASUNCION","Department","DENGUE","SOSPECHOSO",3
2022-01-01,"ASUNCION","Department","DENGUE","TOTAL",3
2022-01-01,"CENTRAL","Department","DENGUE","CONFIRMADO",0
2022-01-01,"CENTRAL","Department","DENGUE","PROBABLE",0
2022-01-01,"CENTRAL","Department","DENGUE","SOSPECHOSO",2
2022-01-01,"CENTRAL","Department","DENGUE","TOTAL",2
2022-01-01,"Centro est","Eje","DENGUE","CONFIRMADO",0
2022-01-01,"Centro est","Eje","DENGUE","PROBABLE",0
2022-01-01,"Centro est","Eje","DENGUE","SOSPECHOSO",1
2022-01-01,"Centro est","Eje","DENGUE","TOTAL",1
2022-01-01,"Centro norte","Eje","DENGUE","CONFIRMADO",0
2022-01-01,"Centro norte","Eje","DENGUE","PROBABLE",0
2022-01-01,"Centro norte","Eje","DENGUE","SOSPECHOSO",2
2022-01-01,"Centro norte","Eje","DENGUE","TOTAL",2
2022-01-01,"CONCEPCION","Department","DENGUE","CONFIRMADO",0
2022-01-01,"CONCEPCION","Department","DENGUE","PROBABLE",0
2022-01-01,"CONCEPCION","Department","DENGUE","SOSPECHOSO",1
2022-01-01,"CONCEPCION","Department","DENGUE","TOTAL",1
2022-01-01,"GUAIRA","Department","DENGUE","CONFIRMADO",0
2022-01-01,"GUAIRA","Department","DENGUE","PROBABLE",0
2022-01-01,"GUAIRA","Department","DENGUE","SOSPECHOSO",1
2022-01-01,"GUAIRA","Department","DENGUE","TOTAL",1
2022-01-01,"Metropolitano","Eje","DENGUE","CONFIRMADO",0
2022-01-01,"Metropolitano","Eje","DENGUE","PROBABLE",0
2022-01-01,"Metropolitano","Eje","DENGUE","SOSPECHOSO",5
2022-01-01,"Metropolitano","Eje","DENGUE","TOTAL",5
2022-01-01,"Paraguay","National","DENGUE","CONFIRMADO",0
2022-01-01,"Paraguay","National","DENGUE","PROBABLE",0
2022-01-01,"Paraguay","National","DENGUE","SOSPECHOSO",8
2022-01-01,"Paraguay","National","DENGUE","TOTAL",8
2022-01-01,"SAN PEDRO","Department","DENGUE","CONFIRMADO",0
2022-01-01,"SAN PEDRO","Department","DENGUE","PROBABLE",0
2022-01-01,"SAN PEDRO","Department","DENGUE","SOSPECHOSO",1
2022-01-01,"SAN PEDRO","Department","DENGUE","TOTAL",1
2022-01-08,"ASUNCION","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-08,"ASUNCION","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-08,"ASUNCION","Department","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-08,"ASUNCION","Department","CHIKUNGUNYA","TOTAL",1
2022-01-08,"ASUNCION","Department","DENGUE","CONFIRMADO",0
2022-01-08,"ASUNCION","Department","DENGUE","PROBABLE",0
2022-01-08,"ASUNCION","Department","DENGUE","SOSPECHOSO",10
2022-01-08,"ASUNCION","Department","DENGUE","TOTAL",10
2022-01-08,"CAAGUAZU","Department","DENGUE","CONFIRMADO",0
2022-01-08,"CAAGUAZU","Department","DENGUE","PROBABLE",0
2022-01-08,"CAAGUAZU","Department","DENGUE","SOSPECHOSO",2
2022-01-08,"CAAGUAZU","Department","DENGUE","TOTAL",2
2022-01-08,"CAAZAPA","Department","DENGUE","CONFIRMADO",0
2022-01-08,"CAAZAPA","Department","DENGUE","PROBABLE",1
2022-01-08,"CAAZAPA","Department","DENGUE","SOSPECHOSO",1
2022-01-08,"CAAZAPA","Department","DENGUE","TOTAL",2
2022-01-08,"CANINDEYU","Department","DENGUE","CONFIRMADO",0
2022-01-08,"CANINDEYU","Department","DENGUE","PROBABLE",0
2022-01-08,"CANINDEYU","Department","DENGUE","SOSPECHOSO",1
2022-01-08,"CANINDEYU","Department","DENGUE","TOTAL",1
2022-01-08,"CENTRAL","Department","DENGUE","CONFIRMADO",0
2022-01-08,"CENTRAL","Department","DENGUE","PROBABLE",0
2022-01-08,"CENTRAL","Department","DENGUE","SOSPECHOSO",18
