"Group","cases","deaths","n_pos","n_tot","Estimate_m","seroincidence","n_infections","IFR","detection_rate","cfr"
"F","81,485","122","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","1,130,000 [1,030,000-1,230,000]","0.0108 [0.00992-0.0119]","0.0723 [0.0662-0.0792]","0.150"
"M","60,927","176","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","1,130,000 [1,030,000-1,240,000]","0.0155 [0.01420-0.0170]","0.0537 [0.0492-0.0589]","0.289"
"Centro est","21,075"," 58","340","1,001","34.8 [31.9-37.8]","34.8 [31.9-37.8]","768,000 [  834,000-704,000]","0.00756 [0.00696-0.00824]","0.0275 [0.0253-0.0299]","0.2750"
"Centro norte","10,399"," 14","340","1,001","34.8 [31.9-37.8]","34.8 [31.9-37.8]","399,000 [  433,000-365,000]","0.00351 [0.00323-0.00383]","0.0261 [0.0240-0.0285]","0.1350"
"Centro sur"," 9,494"," 18","340","1,001","34.8 [31.9-37.8]","34.8 [31.9-37.8]","394,000 [  428,000-361,000]","0.00457 [0.00421-0.00499]","0.0241 [0.0222-0.0263]","0.1900"
"Chaco"," 3,051","  2","340","1,001","34.8 [31.9-37.8]","34.8 [31.9-37.8]"," 78,200 [   85,000- 71,700]","0.00256 [0.00235-0.00279]","0.0390 [0.0359-0.0425]","0.0656"
"Metropolitano","98,665","206","340","1,001","34.8 [31.9-37.8]","33.0 [30.1-36.0]","939,000 [1,020,000-857,000]","0.02190 [0.02010-0.02400]","0.1050 [0.0963-0.1150]","0.2090"
"<1"," 4,641"," 50","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]"," 44,800 [ 40,800- 48,800]","0.112000 [0.102000-0.122000]","0.1040 [0.0950-0.1140]","1.08000"
"01-09","18,828","  2","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","399,000 [364,000-436,000]","0.000501 [0.000459-0.000549]","0.0471 [0.0432-0.0517]","0.01060"
"10-19","19,854","  3","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","403,000 [367,000-439,000]","0.000745 [0.000683-0.000817]","0.0493 [0.0452-0.0541]","0.01510"
"20-29","22,689","  1","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","395,000 [361,000-431,000]","0.000253 [0.000232-0.000277]","0.0574 [0.0526-0.0629]","0.00441"
"30-39","21,939","  7","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","357,000 [326,000-390,000]","0.001960 [0.001800-0.002150]","0.0614 [0.0563-0.0673]","0.03190"
"40-49","15,673"," 11","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","254,000 [232,000-277,000]","0.004330 [0.003970-0.004750]","0.0617 [0.0566-0.0677]","0.07020"
"50-59","13,404"," 27","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","192,000 [176,000-210,000]","0.014000 [0.012900-0.015400]","0.0696 [0.0638-0.0763]","0.20100"
"60-69","12,516"," 39","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","126,000 [115,000-137,000]","0.031000 [0.028400-0.034000]","0.0995 [0.0912-0.1090]","0.31200"
">70","12,868","158","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]"," 90,200 [ 82,300- 98,500]","0.175000 [0.160000-0.192000]","0.1430 [0.1310-0.1560]","1.23000"
"Total","142,412","298","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","2,260,000 [2,060,000-2,470,000]","0.0132 [0.0121-0.0144]","0.063 [0.0577-0.069]","0.209"
