"Group","cases","deaths","n_pos","n_tot","Estimate_m","seroincidence","n_infections","IFR","detection_rate","cfr"
"F","81,485","122","123","401","31.6 [27.3-36.3]","29.8 [25.4-34.5]","1,020,000 [  869,000-1,180,000]","0.0120 [0.0103-0.0140]","0.0800 [0.0691-0.0937]","0.150"
"M","60,927","176","217","600","36.9 [33.2-40.9]","35.1 [31.3-39.0]","1,210,000 [1,080,000-1,340,000]","0.0146 [0.0131-0.0163]","0.0505 [0.0454-0.0565]","0.289"
"Centro est","21,075"," 58","118","  252","47.20 [41.20-53.4]","47.20 [41.20-53.4]","1,040,000 [  908,000-1,180,000]","0.00557 [0.00493-0.00639]","0.0202 [0.0179-0.0232]","0.2750"
"Centro norte","10,399"," 14","102","  249","41.60 [35.60-47.8]","41.60 [35.60-47.8]","  476,000 [  408,000-  547,000]","0.00294 [0.00256-0.00343]","0.0219 [0.0190-0.0255]","0.1350"
"Centro sur"," 9,494"," 18","14","  250"," 7.41 [ 4.77-11.3]"," 7.41 [ 4.77-11.3]","   83,800 [   53,900-  128,000]","0.02150 [0.01400-0.03340]","0.1130 [0.0740-0.1760]","0.1900"
"Chaco"," 3,051","  2","340","1,001","34.80 [31.90-37.8]","34.80 [31.90-37.8]","   78,200 [   71,700-   85,000]","0.00256 [0.00235-0.00279]","0.0390 [0.0359-0.0425]","0.0656"
"Metropolitano","98,665","206","106","  250","43.00 [37.00-49.2]","41.10 [35.10-47.3]","1,170,000 [1,000,000-1,350,000]","0.01760 [0.01530-0.02060]","0.0842 [0.0732-0.0986]","0.2090"
"01-09","18,828","  2","340","1,001","34.8 [31.9-37.8]","33.0 [30.1-36.0]","399,000 [364,000-436,000]","0.000501 [0.000459-0.000549]","0.0471 [0.0432-0.0517]","0.01060"
"10-19","19,854","  3","10","   32","32.2 [18.7-49.5]","30.3 [16.8-47.7]","370,000 [206,000-582,000]","0.000810 [0.000515-0.001460]","0.0536 [0.0341-0.0966]","0.01510"
"20-29","22,689","  1","110","  299","37.5 [32.2-43.2]","35.7 [30.4-41.3]","428,000 [364,000-495,000]","0.000234 [0.000202-0.000274]","0.0530 [0.0458-0.0623]","0.00441"
"30-39","21,939","  7","106","  349","31.3 [26.7-36.4]","29.5 [24.8-34.5]","320,000 [269,000-374,000]","0.002190 [0.001870-0.002600]","0.0686 [0.0586-0.0815]","0.03190"
"40-49","15,673"," 11","74","  205","36.9 [30.6-43.7]","35.0 [28.7-41.8]","270,000 [221,000-322,000]","0.004080 [0.003420-0.004970]","0.0581 [0.0487-0.0709]","0.07020"
"50-59","13,404"," 27","34","   98","35.5 [26.8-45.4]","33.7 [24.9-43.5]","197,000 [145,000-254,000]","0.013700 [0.010600-0.018600]","0.0682 [0.0527-0.0922]","0.20100"
"60-69","12,516"," 39","6","   18","34.2 [16.9-57.1]","32.4 [15.0-55.2]","123,000 [ 57,400-211,000]","0.031600 [0.018500-0.067900]","0.1010 [0.0594-0.2180]","0.31200"
"<1"," 4,641"," 50","340","1,001","34.8 [31.9-37.8]","33.0 [30.1-36.0]"," 44,800 [ 40,800- 48,800]","0.112000 [0.102000-0.122000]","0.1040 [0.0950-0.1140]","1.08000"
">70","12,868","158","340","1,001","34.8 [31.9-37.8]","33.0 [30.1-36.0]"," 90,200 [ 82,300- 98,500]","0.175000 [0.160000-0.192000]","0.1430 [0.1310-0.1560]","1.23000"
"Total","142,412","298","340","1,001","34.8 [31.9-37.8]","33 [30.1-36]","2,260,000 [2,060,000-2,470,000]","0.0132 [0.0121-0.0144]","0.063 [0.0577-0.069]","0.209"
